YEAR,MO,DY,T2M_MIN,T2M_MAX,T2M,PRECTOTCORR
1982,1,7,19.23,28.68,23.94,15.29
1982,1,8,19.95,24.71,22.32,29.39
1982,1,9,18.89,24.57,21.61,21.22
1982,1,10,18.31,25.16,22.2,30.29
1982,1,11,19.27,26.61,22.9,25.28
1982,1,12,20.05,28.17,23.55,10.91
1982,1,13,16.85,28.1,22.11,0.13
1982,1,14,15.61,29.1,21.92,0.01
1982,1,15,16.49,29.9,22.66,0.0
1982,1,16,15.81,29.46,22.28,0.0
1982,1,17,16.62,29.22,22.47,0.0
1982,1,18,16.47,28.76,22.27,0.17
1982,1,19,17.67,28.38,22.38,0.47
1982,1,20,17.93,26.94,21.77,3.94
1982,1,21,17.04,26.3,20.95,4.26
1982,1,22,17.45,24.8,20.67,43.05
1982,1,23,18.65,22.72,20.44,6.38
1982,1,24,16.75,25.87,20.57,0.18
1982,1,25,16.02,26.26,20.6,0.1
1982,1,26,16.48,26.07,20.86,3.32
1982,1,27,16.59,27.03,21.99,3.48
1982,1,28,17.79,25.44,21.54,9.03
1982,1,29,17.7,23.87,20.22,14.23
1982,1,30,17.34,26.28,20.6,1.15
1982,1,31,16.96,27.29,21.94,8.55
1982,2,1,17.66,26.45,21.78,11.37
1982,2,2,16.58,27.99,22.36,11.0
1982,2,3,17.03,27.36,22.06,2.95
1982,2,4,16.47,28.31,22.66,13.28
1982,2,5,19.16,25.82,22.16,33.76
1982,2,6,19.31,26.28,22.55,21.27
1982,2,7,19.11,27.78,23.09,5.94
1982,2,8,18.08,28.72,23.62,2.25
1982,2,9,19.45,27.82,23.41,0.46
1982,2,10,19.95,27.82,23.49,0.32
1982,2,11,16.39,29.26,22.96,0.01
1982,2,12,16.73,29.93,23.69,0.0
1982,2,13,17.59,29.96,24.16,0.0
1982,2,14,19.06,29.18,23.99,0.02
1982,2,15,18.75,29.43,24.38,0.08
1982,2,16,19.47,30.05,24.22,0.15
1982,2,17,18.46,28.65,23.15,2.77
1982,2,18,18.67,27.03,22.55,2.66
1982,2,19,19.1,28.3,23.61,2.6
1982,2,20,18.53,27.14,22.8,0.24
1982,2,21,17.36,29.16,23.62,0.97
1982,2,22,18.74,28.72,24.01,6.04
1982,2,23,20.53,28.4,24.11,5.86
1982,2,24,19.94,26.93,23.08,26.51
1982,2,25,18.51,27.71,22.69,8.36
1982,2,26,18.38,29.49,23.32,11.0
1982,2,27,19.05,26.69,22.18,10.05
1982,2,28,18.72,26.04,21.97,7.25
1982,3,1,18.22,26.7,21.85,14.04
1982,3,2,18.26,28.07,22.62,1.15
1982,3,3,17.01,26.79,21.13,0.21
1982,3,4,16.47,26.55,20.64,0.01
1982,3,5,16.2,25.33,20.28,0.05
1982,3,6,16.4,25.4,20.51,0.07
1982,3,7,17.31,27.9,21.88,0.5
1982,3,8,17.03,26.76,21.48,8.9
1982,3,9,18.31,25.45,21.44,18.46
1982,3,10,20.07,27.06,22.94,28.7
1982,3,11,19.49,27.79,23.05,25.79
1982,3,12,18.73,27.04,22.25,4.78
1982,3,13,17.31,27.9,21.55,12.87
1982,3,14,18.09,27.65,21.69,5.12
1982,3,15,18.16,28.28,22.64,6.3
1982,3,16,20.32,26.26,22.82,4.49
1982,3,17,18.33,28.29,23.01,8.02
1982,3,18,19.65,29.04,23.97,8.17
1982,3,19,19.82,28.4,23.55,6.41
1982,3,20,17.36,27.85,21.85,0.83
1982,3,21,16.98,27.4,21.67,28.14
1982,3,22,18.26,26.58,21.69,8.59
1982,3,23,17.27,26.65,21.66,1.37
1982,3,24,16.76,26.63,21.18,1.91
1982,3,25,17.18,26.54,21.3,2.88
1982,3,26,17.05,27.15,21.69,1.86
1982,3,27,17.43,27.57,22.16,2.94
1982,3,28,16.55,27.95,22.11,0.32
1982,3,29,17.13,28.04,22.32,5.82
1982,3,30,17.93,28.64,23.33,2.27
1982,3,31,19.03,28.12,23.01,0.37
1982,4,1,17.13,27.66,21.65,0.03
1982,4,2,17.72,27.71,21.95,0.16
1982,4,3,18.31,27.5,22.65,0.46
1982,4,4,17.42,26.86,21.71,0.04
1982,4,5,15.8,24.09,19.66,0.02
1982,4,6,15.17,24.68,19.01,0.08
1982,4,7,13.89,24.17,18.37,0.02
1982,4,8,13.14,25.33,18.54,0.0
1982,4,9,13.59,22.98,17.51,0.0
1982,4,10,13.55,24.33,18.25,0.31
1982,4,11,14.13,25.7,18.98,1.35
1982,4,12,16.47,25.39,20.69,20.33
1982,4,13,17.47,22.95,20.03,3.24
1982,4,14,17.47,22.24,19.4,33.17
1982,4,15,17.57,23.91,19.97,3.33
1982,4,16,15.64,24.09,19.13,0.07
1982,4,17,14.71,23.01,18.17,0.0
1982,4,18,15.23,24.47,18.96,0.0
1982,4,19,14.85,24.74,18.91,0.0
1982,4,20,13.56,24.8,18.72,0.0
1982,4,21,15.01,23.89,19.04,0.06
1982,4,22,14.09,25.49,19.47,0.01
1982,4,23,15.99,23.64,19.08,0.05
1982,4,24,13.79,24.02,18.0,0.0
1982,4,25,13.7,24.74,18.29,0.0
1982,4,26,13.69,23.87,18.02,0.0
1982,4,27,12.97,23.39,17.31,0.0
1982,4,28,12.44,23.58,17.06,0.01
1982,4,29,13.22,22.61,17.08,0.02
1982,4,30,10.9,21.72,16.05,0.02
1982,5,1,12.33,22.62,17.0,0.01
1982,5,2,12.25,24.3,17.71,0.0
1982,5,3,11.81,23.64,16.82,0.02
1982,5,4,12.77,20.9,16.05,0.0
1982,5,5,10.05,21.14,14.62,0.0
1982,5,6,9.0,21.65,14.54,0.0
1982,5,7,9.83,22.78,15.68,0.0
1982,5,8,11.65,23.46,17.02,0.0
1982,5,9,13.19,23.73,17.85,0.0
1982,5,10,11.64,25.03,18.23,0.0
1982,5,11,11.7,25.68,18.88,0.0
1982,5,12,11.87,25.51,18.59,0.0
1982,5,13,13.23,25.66,19.29,0.0
1982,5,14,14.73,26.34,20.47,0.0
1982,5,15,14.45,25.75,20.04,0.0
1982,5,16,15.1,24.96,19.45,0.02
1982,5,17,16.54,25.7,20.56,0.03
1982,5,18,15.66,25.97,20.58,6.14
1982,5,19,17.08,23.55,19.77,7.42
1982,5,20,13.8,23.85,17.98,0.65
1982,5,21,11.13,22.69,15.98,0.01
1982,5,22,8.6,22.31,15.38,0.01
1982,5,23,13.76,23.3,17.24,1.47
1982,5,24,13.97,19.02,16.22,10.78
1982,5,25,16.13,21.51,17.92,15.78
1982,5,26,12.5,20.82,16.09,0.28
1982,5,27,12.86,20.54,16.29,0.3
1982,5,28,12.01,20.65,15.63,0.03
1982,5,29,11.31,21.84,15.55,0.23
1982,5,30,12.13,21.88,16.43,10.05
1982,5,31,13.83,23.16,17.93,6.41
1982,6,1,12.36,23.99,17.54,0.0
1982,6,2,12.8,23.69,17.52,0.08
1982,6,3,12.59,23.62,17.65,0.01
1982,6,4,11.35,22.54,16.86,3.12
1982,6,5,15.13,22.02,17.66,3.44
1982,6,6,13.76,23.27,17.94,0.05
1982,6,7,13.63,23.71,18.12,0.01
1982,6,8,12.97,24.62,17.99,0.02
1982,6,9,12.79,25.7,19.01,0.0
1982,6,10,13.4,25.82,18.74,0.13
1982,6,11,16.34,25.4,19.87,19.31
1982,6,12,16.77,23.25,19.35,23.83
1982,6,13,14.4,24.75,19.34,4.7
1982,6,14,15.59,23.84,19.2,0.32
1982,6,15,15.21,25.53,19.38,6.3
1982,6,16,15.51,19.45,17.45,2.36
1982,6,17,13.08,23.53,17.29,0.74
1982,6,18,13.6,24.34,18.3,0.26
1982,6,19,13.45,24.68,18.25,0.0
1982,6,20,16.33,23.35,18.75,1.89
1982,6,21,14.42,23.7,18.35,0.39
1982,6,22,15.75,21.73,17.99,15.15
1982,6,23,15.01,20.28,17.22,1.82
1982,6,24,15.76,23.92,18.89,7.01
1982,6,25,16.4,23.83,19.54,25.48
1982,6,26,17.19,24.71,20.15,0.78
1982,6,27,16.71,23.04,19.45,0.89
1982,6,28,18.04,22.29,19.77,12.24
1982,6,29,17.51,21.27,18.87,3.7
1982,6,30,14.97,24.94,19.3,6.5
1982,7,1,14.66,24.59,19.41,6.15
1982,7,2,12.55,23.55,17.51,0.2
1982,7,3,14.07,23.96,18.34,0.0
1982,7,4,12.59,24.46,18.27,0.0
1982,7,5,14.05,25.49,19.55,0.0
1982,7,6,15.38,24.02,18.89,0.03
1982,7,7,14.64,25.4,19.29,0.0
1982,7,8,15.91,24.77,19.3,0.0
1982,7,9,14.21,24.01,18.22,0.01
1982,7,10,14.0,22.97,17.89,0.0
1982,7,11,12.6,24.72,18.67,0.03
1982,7,12,12.71,26.0,19.03,0.27
1982,7,13,15.41,23.35,18.3,3.41
1982,7,14,12.21,20.69,15.87,5.04
1982,7,15,8.88,22.64,13.84,0.11
1982,7,16,11.7,22.82,16.39,0.22
1982,7,17,15.07,23.06,18.39,1.31
1982,7,18,15.47,22.82,18.57,8.83
1982,7,19,15.27,22.69,18.0,1.42
1982,7,20,12.69,24.43,17.81,0.19
1982,7,21,12.29,25.67,18.95,0.0
1982,7,22,12.15,25.21,18.55,0.28
1982,7,23,11.06,25.17,17.99,0.0
1982,7,24,10.85,24.93,17.89,0.0
1982,7,25,11.01,24.99,17.86,0.0
1982,7,26,10.18,24.06,16.93,0.0
1982,7,27,9.98,24.39,16.86,0.0
1982,7,28,10.05,24.92,16.93,0.01
1982,7,29,13.66,23.05,17.86,1.02
1982,7,30,9.42,18.56,14.32,2.21
1982,7,31,7.53,21.85,12.94,0.01
1982,8,1,9.43,22.48,14.77,0.04
1982,8,2,12.99,27.35,18.73,0.14
1982,8,3,13.66,19.56,16.65,0.72
1982,8,4,10.71,18.38,13.67,1.77
1982,8,5,11.37,24.44,16.86,2.01
1982,8,6,14.94,25.38,19.88,1.15
1982,8,7,14.65,26.66,20.21,0.18
1982,8,8,14.37,27.65,20.78,0.07
1982,8,9,14.89,27.58,20.74,0.05
1982,8,10,17.07,21.76,19.11,7.32
1982,8,11,13.3,22.36,17.0,2.31
1982,8,12,12.67,22.61,16.59,0.08
